geom,temp_mes
POINT (-42.023107774460776 185.4634931878927),-23.0
POINT (-41.46651032049441 185.4634931878927),-23.0
POINT (-40.90991286652804 185.4634931878927),-23.1
POINT (-40.35331541256168 185.4634931878927),-23.1
POINT (-39.7967179585953 185.4634931878927),-23.2
POINT (-39.24012050462894 185.4634931878927),-23.1
POINT (-38.68352305066257 185.4634931878927),-23.0
POINT (-38.1269255966962 185.4634931878927),-23.0
POINT (-37.570328142729835 185.4634931878927),-23.2
POINT (-37.01373068876347 185.4634931878927),-23.1
POINT (-36.4571332347971 185.4634931878927),-22.9
POINT (-35.90053578083073 185.4634931878927),-22.9
POINT (-35.34393832686437 185.4634931878927),-22.7
POINT (-34.787340872897985 185.4634931878927),-22.8
POINT (-34.23074341893163 185.4634931878927),-22.6
POINT (-33.67414596496526 185.4634931878927),-22.6
POINT (-33.117548510998894 185.4634931878927),-22.5
POINT (-32.56095105703252 185.4634931878927),-22.7
POINT (-32.00435360306615 185.4634931878927),-22.5
POINT (-80.42833209814016 180.54427270440254),-24.3
POINT (-79.87173464417378 180.54427270440254),-24.6
POINT (-78.75853973624106 180.54427270440254),-24.5
POINT (-78.20194228227469 180.54427270440254),-24.2
POINT (-77.64534482830832 180.54427270440254),-24.1
POINT (-52.04186194585541 180.54427270440254),-23.0
POINT (-51.485264491889026 180.54427270440254),-23.0
POINT (-50.92866703792266 180.54427270440254),-23.7
POINT (-50.37206958395629 180.54427270440254),-23.8
POINT (-49.815472129989935 180.54427270440254),-23.7
POINT (-49.25887467602355 180.54427270440254),-23.6
POINT (-48.70227722205719 180.54427270440254),-24.0
POINT (-48.14567976809082 180.54427270440254),-23.9
POINT (-47.589082314124454 180.54427270440254),-23.4
POINT (-47.032484860158085 180.54427270440254),-23.7
POINT (-46.47588740619172 180.54427270440254),-23.5
POINT (-45.91928995222534 180.54427270440254),-23.5
POINT (-45.36269249825898 180.54427270440254),-23.5
POINT (-44.80609504429262 180.54427270440254),-23.2
POINT (-44.24949759032624 180.54427270440254),-23.1
POINT (-43.692900136359874 180.54427270440254),-23.1
POINT (-43.13630268239351 180.54427270440254),-23.1
POINT (-42.57970522842714 180.54427270440254),-23.2
POINT (-42.023107774460776 180.54427270440254),-23.1
POINT (-41.46651032049441 180.54427270440254),-23.1
POINT (-40.90991286652804 180.54427270440254),-23.1
POINT (-40.35331541256168 180.54427270440254),-23.1
POINT (-39.7967179585953 180.54427270440254),-23.2
POINT (-39.24012050462894 180.54427270440254),-23.1
POINT (-38.68352305066257 180.54427270440254),-23.0
POINT (-38.1269255966962 180.54427270440254),-23.0
POINT (-37.570328142729835 180.54427270440254),-23.0
POINT (-37.01373068876347 180.54427270440254),-22.9
POINT (-36.4571332347971 180.54427270440254),-22.8
POINT (-35.90053578083073 180.54427270440254),-22.8
POINT (-35.34393832686437 180.54427270440254),-22.7
POINT (-34.787340872897985 180.54427270440254),-22.7
POINT (-34.23074341893163 180.54427270440254),-22.6
POINT (-33.67414596496526 180.54427270440254),-23.2
POINT (-33.117548510998894 180.54427270440254),-22.6
POINT (-32.56095105703252 180.54427270440254),-23.1
POINT (-32.00435360306615 180.54427270440254),-23.1
POINT (-31.447756149099785 180.54427270440254),-22.9
POINT (-30.89115869513342 180.54427270440254),-22.6
POINT (-30.334561241167044 180.54427270440254),-22.7
POINT (-29.777963787200683 180.54427270440254),-22.4
POINT (-29.221366333234318 180.54427270440254),-22.4
POINT (-28.664768879267942 180.54427270440254),-22.1
POINT (-91.56028117746753 175.97516875570702),-25.2
